input,response
:(,It's all right. I love you anyway.
:(,It might be dark now but it won't be dark forver.
:(,Just in case you forgot you are smart and beautiful and the world is better because of you.
:(,Everything will be ok.
:(,Hey - you got this.
:(,Tell me all about it.
:(,Treat yourself!  You deserve it.
:(,You're my favorite.
:(,A whole pint of ice cream sounds like a great dinner.
:(,I'd hug you if I had arms.  This one makes more sense if you can see I'm a manatee.
:(,"Some days, all you can do is breathe.  And That's okay!"
:(,"When someone asks ""are you okay?  It's all right to say no."
:/,You can do it!
:/,What's your perfect day?  Make that happen!
:/,Get it girl!
:/,You're the best... AROUND
:/,Nothing gonna ever bring you down!
:/,Don't stop believing!
<3,I love you too!
<3,I love your sense of humor.
<3,I love your smile.
<3,I love your bad habits.
<3,I love the way your hair smells.
<3,I love that you love the outdoors!
<3,I love and admire the way you treat your friends.
<3,I love that you care about what's happening in the world.
<3,I love your sense of adventure.
<3,I love your eyelashes.
<3,I love that you know about technology.  Technology is sexy.
<3,I love your taste in movies even when I pretend to be highbrow.
:),Have an awesome day!
:),Laugh out loud.  Right now.  Go for it.
:),Smile! 
:),Think about a puppy!
:),High five!
:),A positive attitude may not solve all your problems but it will annoy enough people to make it worth the effort.
